track_id,playlist_name,playlist_creator,duration_s,loudness_db,tempo_bpm,time_signature,key,mode,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,artist_popularity,artist_genres,artist_followers
spotify:track:5gNUGHFPrKeamvHlBV6ZN9,Moscow Reisen,rnightscales,201.45332,-10.495,133.586,4,6,0,0.607,0.939,0.0595,0.00272,0.553,0.104,0.411,False,0,6,[],210
spotify:track:5whwTa5o97YMG0ZMiDjn7l,Moscow Reisen,rnightscales,397.54358,-14.768,133.01,4,2,1,0.607,0.472,0.0365,0.000771,0.785,0.357,0.0926,False,12,9,"['ebm', 'electro-industrial']",3715
spotify:track:7oLiQbCP55rZT7qLK7AuyF,Moscow Reisen,rnightscales,377.2098,-11.135,124.028,4,6,0,0.837,0.513,0.0946,0.00304,0.922,0.078,0.869,False,0,3,[],137
spotify:track:6nCADD4gPE6pIBJTV3hrlZ,Moscow Reisen,rnightscales,450.71878,-12.039,120.006,4,7,1,0.805,0.511,0.0439,0.00277,0.841,0.0928,0.0371,False,8,46,"['munich electronic', 'organic house']",24379
spotify:track:6V4Q5e0Ovxc03e43SxSMjT,Moscow Reisen,rnightscales,292.40988,-9.208,122.012,4,8,1,0.802,0.563,0.0576,0.0952,0.891,0.109,0.0776,False,0,50,"['electro house', 'electronica', 'float house']",75990
spotify:track:1H4bZzsp0QgkDcdd03H1PC,Moscow Reisen,rnightscales,443.3203,-13.605,127.999,4,2,1,0.717,0.712,0.0474,0.0177,0.907,0.104,0.0392,False,12,15,['acid techno'],1551
spotify:track:43MCrnrty0m7vZpxmRFfvj,Moscow Reisen,rnightscales,457.59464,-10.258,122.013,4,8,0,0.801,0.672,0.0554,0.00149,0.909,0.0672,0.139,False,10,43,"['cologne electronic', 'deep euro house', 'minimal techno', 'organic house', 'tech house']",17744
spotify:track:4QZpiZHpwR4D27MTlsyPuc,Moscow Reisen,rnightscales,486.05493,-7.954,122.995,4,8,0,0.74,0.696,0.0462,0.285,0.922,0.0633,0.699,False,9,39,"['focus trance', 'israeli techno', 'organic house', 'tech house']",13283
spotify:track:0WMEKJjKBMS4HIdNP04xO1,Moscow Reisen,rnightscales,451.96332,-13.162,129.998,4,6,1,0.601,0.775,0.041,0.0566,0.873,0.106,0.0398,False,8,32,"['minimal dub', 'minimal techno', 'spanish techno', 'techno']",38386
spotify:track:3NyDWXBMQyibwuzPQVirIc,Moscow Reisen,rnightscales,488.16336,-14.315,125.019,4,4,0,0.786,0.641,0.0519,0.00132,0.913,0.11,0.0347,False,11,44,"['dub techno', 'electronica', 'float house', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house', 'techno']",37849
spotify:track:3frAFXJipuX378k9Ib3NYV,Moscow Reisen,rnightscales,367.31647,-15.718,139.994,4,9,0,0.513,0.497,0.0354,0.442,0.859,0.0845,0.151,False,14,21,"['acid techno', 'ambient techno']",2604
spotify:track:3pzKbqno6WCRUEIXa44VPk,Moscow Reisen,rnightscales,354.7356,-11.124,120.003,4,7,1,0.718,0.56,0.041,0.0178,0.735,0.112,0.0693,False,19,15,"['dark disco', 'indonesian electronic']",1478
spotify:track:20cpJgosGV9jJN80pI63CI,Moscow Reisen,rnightscales,563.30664,-5.218,119.994,4,1,0,0.64,0.815,0.0464,0.0254,0.776,0.0592,0.729,False,0,50,"['filter house', 'nu disco']",24130
spotify:track:3yWl69NlEkqdGDUtLzDQl4,Moscow Reisen,rnightscales,407.41153,-13.778,125.036,4,1,1,0.696,0.536,0.0736,0.228,0.857,0.141,0.0748,False,4,13,[],627
spotify:track:4asngNV0Bc0RmKFJpPZr9O,Moscow Reisen,rnightscales,551.66724,-11.354,122.007,4,7,1,0.787,0.476,0.106,0.000616,0.865,0.0587,0.161,False,28,57,['hamburg electronic'],56824
spotify:track:658lejQ8rSG1OaRyhm13no,Moscow Reisen,rnightscales,363.12485,-9.257,124.974,4,5,0,0.749,0.529,0.0564,0.00135,0.823,0.125,0.517,False,19,43,"['deep house', 'electronica', 'float house', 'microhouse']",30227
spotify:track:6ZRQYzpp9jqOqeNsMw8YCm,Moscow Reisen,rnightscales,375.2381,-11.662,125.978,3,1,1,0.399,0.835,0.0344,2.53e-06,0.946,0.251,0.143,False,25,28,['minimal dub'],19946
spotify:track:1ALu7XvI72BbCUN79GsyjK,Moscow Reisen,rnightscales,280.4762,-9.312,125.998,4,3,0,0.619,0.885,0.0367,6.22e-05,0.897,0.108,0.445,False,7,44,"['dub techno', 'electronica', 'float house', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house', 'techno']",37849
spotify:track:01HyeZEyTgIlFDPjMz82HY,Moscow Reisen,rnightscales,438.1296,-9.114,120.0,4,10,1,0.8,0.818,0.0525,0.000647,0.882,0.018,0.261,False,18,43,"['deep house', 'electronica', 'float house', 'microhouse']",30227
spotify:track:226BBGoWgtoh9Tr6WQdoad,Moscow Reisen,rnightscales,369.8931,-7.263,127.005,4,9,0,0.719,0.769,0.064,0.0163,0.856,0.056,0.292,False,5,42,['experimental techno'],39159
spotify:track:0bpyXUssLjbz7M5jRkUgwB,Moscow Reisen,rnightscales,317.5347,-5.621,123.002,4,1,0,0.662,0.919,0.0519,0.0426,0.956,0.24,0.362,False,3,42,['experimental techno'],39159
spotify:track:7lt66vrwKAy8j0KED11D2Q,Moscow Reisen,rnightscales,306.74033,-8.577,127.01,4,11,1,0.62,0.788,0.0571,0.00739,0.735,0.281,0.0488,False,31,45,"['dark post-punk', 'grave wave', 'nu gaze']",76979
spotify:track:32uupWMt6AvQyoVxYBSotj,Moscow Reisen,rnightscales,338.0,-10.125,127.976,4,1,0,0.586,0.973,0.0971,0.018,0.695,0.107,0.202,False,23,27,"['minimal dub', 'modular techno']",17706
spotify:track:5hxeyTYbAIWpOtlLNx8EdI,Moscow Reisen,rnightscales,283.76,-7.834,115.973,4,1,0,0.703,0.82,0.0635,0.00586,0.686,0.361,0.747,False,13,32,"['dark clubbing', 'destroy techno', 'french techno']",13922
spotify:track:0AuNzQsY8oeG1oNo60cGFr,Moscow Reisen,rnightscales,244.02667,-7.027,122.02,4,11,0,0.695,0.726,0.0453,0.00565,0.694,0.259,0.133,False,16,32,"['dark clubbing', 'destroy techno', 'french techno']",13922
spotify:track:2C7xpa7jCPlxAtCrbvu98e,Moscow Reisen,rnightscales,342.72913,-9.596,123.998,4,1,1,0.726,0.679,0.0441,0.000631,0.907,0.111,0.123,False,10,45,"['deep minimal techno', 'minimal techno', 'tech house']",131349
spotify:track:5b9xn87FfLBWVFIGXfnapo,Moscow Reisen,rnightscales,297.24,-6.019,126.0,4,2,1,0.686,0.935,0.0418,0.0018,0.782,0.407,0.196,False,27,32,"['dark clubbing', 'destroy techno', 'french techno']",13922
spotify:track:4x0PSbiNZ3Xjh2XrJ3Vplf,Moscow Reisen,rnightscales,346.0,-8.525,130.004,4,6,1,0.701,0.887,0.0442,0.00285,0.744,0.464,0.0747,False,22,29,['minimal dub'],13994
spotify:track:2X3fHk8iTQDwwKawndV3V5,Moscow Reisen,rnightscales,376.0,-10.669,125.978,4,6,1,0.793,0.739,0.0516,5.26e-05,0.822,0.0907,0.261,False,9,34,"['australian techno', 'destroy techno', 'electro']",11463
spotify:track:02XxuIJweZiytrtDBNS9oS,Moscow Reisen,rnightscales,378.37314,-10.115,124.986,4,4,0,0.68,0.938,0.0432,0.00695,0.702,0.262,0.0701,False,0,42,['experimental techno'],39159
