track_id,playlist_name,playlist_creator,duration_s,loudness_db,tempo_bpm,time_signature,key,mode,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,artist_popularity,artist_genres,artist_followers
spotify:track:5p1gTWxxSWUzPmSt8xaV3G,Udo2021,Diogo Sá,230.29333,-11.532,140.03,4,10,0,0.672,0.903,0.0633,2.28e-05,0.863,0.0852,0.623,False,1,2,['nu electro'],241
spotify:track:6jDx0ETyj4hJikaX8HrNzh,Udo2021,Diogo Sá,430.30414,-7.547,127.031,4,7,1,0.796,0.97,0.194,0.000288,0.869,0.406,0.0369,False,0,5,['australian techno'],36
spotify:track:6M6ocigSd503F5NWTug6P9,Udo2021,Diogo Sá,425.4966,-8.779,140.023,4,11,1,0.644,0.957,0.0436,0.0777,0.884,0.113,0.443,False,0,23,[],707
spotify:track:62QMAKV2tG3SVPTEwAAogC,Udo2021,Diogo Sá,384.48,-13.085,140.035,4,11,0,0.638,0.769,0.041,3.5e-05,0.944,0.0995,0.0822,False,0,2,[],30
spotify:track:5GY8M8miz700f4BreT7bRs,Udo2021,Diogo Sá,350.22223,-8.021,134.979,4,2,1,0.594,0.94,0.0661,0.000177,0.911,0.635,0.356,False,28,58,"['aussietronica', 'australian house', 'float house', 'lo-fi house']",131396
spotify:track:7IBZo8C9UW2GfB8a3nmWwI,Udo2021,Diogo Sá,297.1575,-11.339,133.884,4,1,1,0.728,0.793,0.0475,0.00124,0.929,0.391,0.498,False,14,8,[],59
spotify:track:4ieO3GnOkATpOnUuAx7NCE,U DO YO THING 2019,Diogo Sá,428.40714,-5.695,127.0,4,0,1,0.637,0.86,0.0364,7.34e-05,0.874,0.0756,0.173,False,29,41,"['canadian house', 'experimental house']",28354
spotify:track:3cep6Kb6PfrfsJSsORK7lR,U DO YO THING 2019,Diogo Sá,445.07465,-9.599,133.993,4,4,0,0.782,0.952,0.071,0.0456,0.926,0.11,0.0383,False,2,10,[],190
spotify:track:5lT8D4uf23CMT9E9QhuSeF,U DO YO THING 2019,Diogo Sá,366.09332,-9.083,132.005,4,6,0,0.648,0.708,0.0397,0.000321,0.806,0.673,0.253,False,31,44,"['bass music', 'electronica', 'float house', 'future garage', 'intelligent dance music', 'mandible', 'microhouse', 'munich electronic', 'outsider house', 'wonky']",46790
spotify:track:1AYDTlclDaGcXKnDpTE962,U DO YO THING 2019,Diogo Sá,312.63333,-10.476,133.005,4,10,0,0.705,0.767,0.0373,0.00332,0.612,0.11,0.167,False,3,8,[],2738
spotify:track:6uBiuvgYqWdE8IN9EaU86P,U DO YO THING 2019,Diogo Sá,364.2991,-10.148,134.997,4,1,1,0.771,0.826,0.0628,0.00408,0.873,0.109,0.383,False,28,56,"['bass music', 'electronica', 'float house', 'future garage', 'intelligent dance music', 'microhouse', 'nu jazz', 'wonky']",209672
spotify:track:3qsHi71RePJU0yuINarqEn,U DO YO THING 2019,Diogo Sá,640.0,-9.36,132.018,5,4,0,0.53,0.817,0.0519,0.00499,0.843,0.111,0.248,False,3,6,[],675
spotify:track:4xJWsLpb08wETn23o7qWCG,U DO YO THING 2019,Diogo Sá,278.22464,-10.482,114.003,4,2,1,0.671,0.705,0.0927,0.0315,0.48,0.209,0.324,False,10,22,"['experimental electronic', 'outsider house']",3051
spotify:track:2rTBFI4Rm0p3JXQpORAlIL,U DO YO THING 2019,Diogo Sá,334.3914,-9.08,127.014,4,7,1,0.66,0.949,0.0413,0.296,0.884,0.0662,0.289,False,14,29,[],3823
spotify:track:3uQ0ORkbGdWF6fO1ONg92D,U DO YO THING 2019,Diogo Sá,537.4839,-9.433,124.987,4,1,0,0.803,0.713,0.0731,0.0015,0.902,0.0911,0.249,False,0,13,[],403
spotify:track:0PMORVSDWbF3u9eVKtCqIA,U DO YO THING 2019,Diogo Sá,351.87128,-14.401,133.003,3,11,0,0.666,0.533,0.0467,0.232,0.947,0.111,0.059,False,4,8,[],714
